id,name,size,files,specs,agents,reasoning,connections,domain,matched_dimensoes,top_classes,top_funcs
C319,Integração Nexus: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Integração Nexus,-,-,-
C320,Integração Nexus: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Integração Nexus,Metodologia Específica (keyword_map compatibility),-,-
C321,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C322,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C323,Integração Nexus: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Integração Nexus,-,-,-
C324,Integração Nexus: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Integração Nexus,-,-,-
C325,Integração Nexus: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Integração Nexus,-,-,-
C326,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C327,Integração Nexus: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Integração Nexus,-,-,-
C328,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C329,Integração Nexus: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Integração Nexus,-,-,-
C330,Integração Nexus: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Integração Nexus,-,-,-
C331,Integração Nexus: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Integração Nexus,-,-,-
C332,Integração Nexus: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Integração Nexus,-,-,-
C333,Geral: Run All Cts,2,run_all_cts.py,-,-,-,-,Geral,-,-,-
C334,Geral: Run R35 R36 R37,2,run_r35_r36_r37.py,-,-,"R35, R36, R37",-,Geral,-,-,-
C335,Testes e Validação: test_agents_have_names(),2,test_ecosystem_health.py,-,-,-,C158,Testes e Validação,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)",-,.test_agents_have_names()
C336,Testes e Validação: test_plugins_count(),2,test_ecosystem_health.py,-,-,-,C158,Testes e Validação,-,-,.test_plugins_count()
C337,Testes e Validação: test_plugins_registered_in_config(),2,test_ecosystem_health.py,-,-,-,C158,Testes e Validação,-,-,.test_plugins_registered_in_config()
C338,Testes e Validação: test_evolve_state_exists(),2,test_ecosystem_health.py,-,-,-,C158,Testes e Validação,Níveis Análise Específicos,-,.test_evolve_state_exists()
C339,Testes e Validação: test_registry_score_range(),2,test_ecosystem_health.py,-,-,-,C158,Testes e Validação,Métodos de Investigação,-,.test_registry_score_range()
C340,Testes e Validação: test_mcp_total_count(),2,test_ecosystem_health.py,-,-,-,C158,Testes e Validação,-,-,.test_mcp_total_count()
C341,Testes e Validação: test_mcp_enabled_count(),2,test_ecosystem_health.py,-,-,-,C158,Testes e Validação,-,-,.test_mcp_enabled_count()
C342,Testes e Validação: test_mcp_core_present(),2,test_ecosystem_health.py,-,-,-,C158,Testes e Validação,-,-,.test_mcp_core_present()
C343,Testes e Validação: test_mcp_academic_present(),2,test_ecosystem_health.py,-,-,-,C158,Testes e Validação,-,-,.test_mcp_academic_present()
C344,Testes e Validação: test_skills_all_registered(),2,test_ecosystem_health.py,-,-,-,C158,Testes e Validação,Metodologia Específica (keyword_map compatibility),-,.test_skills_all_registered()
C345,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,"Dados Específicos, Metodologia Específica (keyword_map compatibility)",-,-
C346,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,"Domínios de Conhecimento Cruzados, Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+",-,-
C347,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,-,-,-
C348,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+, Raciocínio Formal (keyword_map compatibility)",-,-
C349,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+",-,-
C350,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,-,-,-
C351,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,-,-,-
C352,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,-,-,-
C353,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,-,-,-
C354,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,-,-,-
C355,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,-,-,-
C356,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,"Alto Raciocínio (Especificidades), Raciocínio Formal (keyword_map compatibility), Tipos de Raciocínio",-,-
C357,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,Alto Raciocínio (Especificidades),-,-
C358,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,"Alto Dados (Expansão de Cobertura), Metodologia Específica (keyword_map compatibility), Métodos de Investigação",-,-
C359,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,"Alto Dados (Expansão de Cobertura), Metodologia Específica (keyword_map compatibility), Métodos de Investigação",-,-
C360,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+, Teoria dos Jogos (ENRICHED_KW compatibility)",-,-
C361,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,Teoria dos Jogos (ENRICHED_KW compatibility),-,-
C362,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,Teoria dos Jogos (ENRICHED_KW compatibility),-,-
C363,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+",-,-
C364,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Métodos de Investigação, Níveis Análise Específicos",-,-
C365,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,"Perspectiva Temporal, Temporalidade Específica",-,-
C366,Testes e Validação: R35 Research Skills,2,test_r35_research_skills.py,-,-,-,C240,Testes e Validação,"Perspectiva Temporal, Raciocínio Formal (keyword_map compatibility), Temporalidade Específica",-,-
C367,Testes e Validação: Validacao Externa,2,test_validacao_externa.py,-,-,-,C159,Testes e Validação,Temporalidade Específica,-,-
C368,Testes e Validação: Validacao Externa,2,test_validacao_externa.py,-,-,-,C159,Testes e Validação,Temporalidade Específica,-,-
C369,Testes e Validação: Validacao Externa,2,test_validacao_externa.py,-,-,-,C159,Testes e Validação,Temporalidade Específica,-,-
C370,Testes e Validação: Validacao Externa,2,test_validacao_externa.py,-,-,-,C159,Testes e Validação,Temporalidade Específica,-,-
C371,Geral:   Init,1,__init__.py,-,-,-,-,Geral,-,-,-
C372,Evolução e Feedback: Evolution Loop,1,evolution_loop.py,-,-,"R4, R5",-,Evolução e Feedback,-,-,-
C373,Geral:   Init,1,__init__.py,-,-,-,-,Geral,-,-,-
C374,Geral: Z Validator,1,z_validator.py,-,-,-,-,Geral,-,-,-
C375,Geral:   Init,1,__init__.py,-,-,-,-,Geral,-,-,-
